Cross Number	Matalpha parent	Mata parent	Tetrad	Spore	Spore fitness in 21 C	replicate deviation	Parent 1 fitness, 21 C	Parent 1 replicate deviation	Parent 2 fitness, 21 C	Parent 2 replicate deviation
mat14	anc-rho0	anc	tet2	clone4	-0.052071117811	0.011652685099	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat14	anc-rho0	anc	tet3	clone1	-0.0287661414823	0.0173831960074	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat14	anc-rho0	anc	tet3	clone2	-0.0377689423674	0.0062777236368	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat14	anc-rho0	anc	tet3	clone3	-0.035786518574	0.0109125058677	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat14	anc-rho0	anc	tet3	clone4	-0.0512401901474	0.0130492619387	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat14	anc-rho0	anc	tet4	clone1	-0.0162137894764	0.0549282322871	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat14	anc-rho0	anc	tet4	clone2	-0.027722355203	0.0458563508337	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat14	anc-rho0	anc	tet4	clone3	-0.0328214593037	0.0397374715716	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat14	anc-rho0	anc	tet4	clone4	0.00517577336272	0.032082836804	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet1	clone1	-0.0219000758423	0.010720386104	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet1	clone2	-0.162176863085	0.0117474883564	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet1	clone3	-0.0578508474011	0.0174089952465	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet1	clone4	-0.0299780579905	0.0139883333999	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet2	clone1	-0.072375432925	0.0167224870405	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet2	clone2	-0.0545949040444	0.0184432274705	-0.0140737818804	0.0155783776469	0.0	0.018167306725
mat15	anc	anc-rho0	tet2	clone3	-0.030981056488	0.00567464627182	-0.0140737818804	0.0155783776469	0.0	0.018167306725
