Evolution environment	Clone number	Fitness at 21 C vs. original reference	Fitness at 21 C vs. cured reference
Evolved in .2 M	clone5	-0.0317035964146	0.227311109387
Evolved in .2 M	clone6	-0.294591679966	-0.044071632621
Evolved in .2 M	clone7	-0.0368628852089	-0.0475035448997
Evolved in .2 M	clone8	-0.249254193187	-0.0522837094538
Evolved in .2 M	clone9	-0.0129972959715	-0.0302207837406
Evolved in .07% glu	clone1	0.0185260529269	0.0163523651837
Evolved in .07% glu	clone10	-0.0985260746579	-0.110669647626
Evolved in .07% glu	clone11	-0.0312743971837	0.24822077113
Evolved in .07% glu	clone12	-0.0420540766742	-0.0464569434995
Evolved in .07% glu	clone13	-0.0385887804872	-0.0501761453083
Evolved in .07% glu	clone14	-0.191686518043	-0.0732392234385
Evolved in .07% glu	clone15	-0.0093189637851	0.136487537094
Evolved in .07% glu	clone16	-0.226157825421	-0.0427813673232
Evolved in .07% glu	clone17	-0.0654881577756	-0.0624559512555
Evolved in .07% glu	clone18	-0.0374450279578	-0.0552127407632
Evolved in .07% glu	clone19	-0.253403308185	-0.0364327570643
Evolved in .07% glu	clone2	-0.260398239431	-0.0344752509251
Evolved in .07% glu	clone20	-0.0427643490518	-0.0425571436548
Evolved in .07% glu	clone3	-0.042662071747	-0.0612504642446
Evolved in .07% glu	clone4	-0.0453088264787	-0.0675714853191
Evolved in .07% glu	clone5	-0.0430201371619	-0.0644922966365
Evolved in .07% glu	clone6	-0.0223812141218	0.32982658724
Evolved in .07% glu	clone7	-0.0331376117459	0.196671313101
Evolved in .07% glu	clone8	-0.00479169080936	0.189245441736
Evolved in .07% glu	clone9	-0.317141176757	-0.0351540754556
Evolved in pH 3.8	clone1	-0.0550002951662	-0.0695935152047
Evolved in pH 3.8	clone10	-0.015599761389	-0.0136435786688
Evolved in pH 3.8	clone11	-0.0113454006525	-0.0463436710181
Evolved in pH 3.8	clone12	-0.0295776692919	0.281247601161
Evolved in pH 3.8	clone13	-0.0365249902831	0.120786618044
Evolved in pH 3.8	clone14	-0.0364074820934	-0.0464391459489
Evolved in pH 3.8	clone15	-0.0442581873036	0.227024644111
Evolved in pH 3.8	clone17	-0.035492494403	-0.0447120480784
Evolved in pH 3.8	clone18	-0.0212740505636	-0.0413194053458
Evolved in pH 3.8	clone19	-0.0268075203422	-0.0470099656334
Evolved in pH 3.8	clone2	-0.0245109562962	0.210846325304
Evolved in pH 3.8	clone20	-0.0435430334195	-0.0525380846431
Evolved in pH 3.8	clone3	-0.0207859032176	0.100973846602
Evolved in pH 3.8	clone4	-0.0419088899548	0.230787584264
Evolved in pH 3.8	clone5	-0.0302689805208	-0.0555995512949
Evolved in pH 3.8	clone6	-0.219349934091	-0.0403090684298
Evolved in pH 3.8	clone7	-0.032165567332	0.213142747673
Evolved in pH 3.8	clone8	-0.0407811809499	0.192552421961
Evolved in pH 3.8	clone9	-0.0440144627857	0.209517732532
Evolved in pH 3	clone1	-0.300509458364	-0.080089645909
Evolved in pH 3	clone11	-0.0434934133902	-0.0583595946816
Evolved in pH 3	clone12	-0.114195689476	-0.0246199895211
Evolved in pH 3	clone13	-0.293484329241	-0.0539449411994
Evolved in pH 3	clone14	-0.291539158067	-0.0579750106499
Evolved in pH 3	clone16	-0.0285736369145	0.275446324663
Evolved in pH 3	clone17	-0.185358773116	-0.0348066370466
Evolved in pH 3	clone18	-0.27759515674	-0.0264602255467
Evolved in pH 3	clone19	-0.250053272338	-0.0598622984079
Evolved in pH 3	clone2	-0.396336396347	-0.0917998411964
Evolved in pH 3	clone20	-0.265020088731	-0.0277569089889
Evolved in pH 3	clone3	-0.393950416264	-0.0974799478225
Evolved in pH 3	clone4	-0.400318091557	-0.0951847726473
Evolved in pH 3	clone5	-0.0214239144337	-0.0272922909711
Evolved in pH 3	clone6	-0.214507410921	-0.0443315514658
Evolved in pH 3	clone7	-0.261429363902	-0.0548687858188
Evolved in pH 3	clone8	-0.14439935662	-0.037225812688
Evolved in pH 3	clone9	-0.236338276128	-0.0313742373282
Evolved in pH 6	clone1	-0.0236131007788	0.545596218283
Evolved in pH 6	clone10	-0.0852806545559	-0.100133591754
Evolved in pH 6	clone11	-0.0369282500061	-0.0275682167601
Evolved in pH 6	clone12	-0.0730107202733	0.27962429251
Evolved in pH 6	clone13	-0.326171504418	-0.0618510281105
Evolved in pH 6	clone14	-0.344007669328	-0.104701119344
Evolved in pH 6	clone15	-0.0698845159971	-0.0661056734624
Evolved in pH 6	clone17	-0.083711676154	-0.0447064171527
Evolved in pH 6	clone18	-0.09040054043	-0.0787067839428
Evolved in pH 6	clone19	-0.0527797079351	-0.071949346277
Evolved in pH 6	clone2	-0.0352367547625	-0.0522174259765
Evolved in pH 6	clone20	-0.0397700807604	0.197438628387
Evolved in pH 6	clone3	-0.0569785767458	-0.0765920245368
Evolved in pH 6	clone4	0.000598919494953	-0.00474767055146
Evolved in pH 6	clone5	-5.12860000009e-05	-0.02667159498
Evolved in pH 6	clone6	-0.405542739749	-0.0205919030898
Evolved in pH 6	clone7	-0.0565532978152	-0.0617017267692
Evolved in pH 6	clone8	-0.00333041641542	-0.0228969537934
Evolved in pH 6	clone9	-0.0344979384299	-0.0419206724111
Evolved in pH 7.3	clone1	-0.0172464045091	0.165429252435
Evolved in pH 7.3	clone10	-0.389211826519	-0.0632044661161
Evolved in pH 7.3	clone11	-0.362427232596	-0.132689869937
Evolved in pH 7.3	clone12	0.00640866034033	0.182901415182
Evolved in pH 7.3	clone13	-0.16466517411	-0.0414306192141
